nom,prenom,titre,etude,adresse,npa,ville,date_inscription,canton
Priuli,Valerio,Dr. iur.,BänzigerPallySchuler KLG,Bahnhofstrasse 7,7000,Chur,08.03.2019,GR
Racioppi,Giuliano,lic. iur.,Racioppi & Partner AG,Bahnhofstrasse 7,7001,Chur,15.06.2007,GR
Rageth,Sigisbert,Dr. iur.,Advokatur Dr. iur. Sigis Rageth Via,Caguils 36,7013,Domat-Ems,25.06.1981,GR
Ramming,Fadri,lic. iur.,RAMMING Advokatur & Notariat Hinterm,Bach 6,7001,Chur,21.06.1991,GR
Ranzi,Guido,lic. iur.,Advokaturbüro Guido Ranzi,Quaderstrasse 5,7001,Chur,30.05.1992,GR
Raschein,Lorenz Christian,MLaw,Mengiardi Fey & Partner,Ottostrasse 4,7001,Chur,21.01.2022,GR
Riedi,Jürg,Dr. iur.,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,14.07.1975,GR
Riedi,Severin,Dr. iur.,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,05.07.2013,GR
Roth,Hauser Elisabeth Margaretha,Dr. iur.,LL.M. Advokaturbüro Elisabeth Roth,Suravia 74,7537,Müstair,31.01.1983,GR
Rothwangl-Bosshard,Sonja,lic. iur.,LL.M. Ganzoni & Pedretti AG Via,Maistra 1,7500,St. Moritz,02.03.2012,GR
Ruoss,Reto Thomas,Dr. iur.,RTR Rechtsanwälte AG,Waldstrasse 1,7050,Arosa,16.03.1987,GR
Rupp,Claudio,Dr. iur.,Advokaturbüro Claudio Rupp,Bondastrasse 32,7000,Chur,11.01.1996,GR
Rusconi,Nicola,,Kirstin Rechtsanwältin Advocatur am Nicolai,Kornplatz 2,7001,Chur,11.05.2004,GR
Saratz,Nuot Peter,Dr. iur.,Advokaturbüro Nuot Saratz Giassa,Stipa 10,7504,Pontresina,09.12.1974,GR
Saupper,Eveline Maria,Dr. iur.,Anwaltskanzlei Saupper,Stradunng 28,7460,Savognin,01.04.1987,GR
Sax,Ernst,lic. iur.,Suenderhauf Sax Schäfer,Gäuggelistrasse 29,7001,Chur,20.06.2003,GR
Scarpatetti,Adrian,lic. iur.,Caviezel Thöny Cantieni Scarpatetti,Bahnhofstrasse 8,7000,Chur,19.12.2008,GR
Schawalder,Claudia,lic. iur.,Schawalder + Kocher,Landstrasse 180,7250,Klosters,18.06.1998,GR
Schlegel,Mathias,MLaw,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,26.06.2025,GR
Schmid,Fortunat,lic. iur.,Advokatur Notariat Schmid,Reichsgasse 55,7000,Chur,18.06.2010,GR
Schmid,Luzius,Dr. iur.,Advokatur Notariat Schmid,Reichsgasse 55,7000,Chur,11.07.1977,GR
Schmid,Patrik,MLaw,Brändli Rechtsanwälte AG,Aquasanastrasse 8,7000,Chur,29.06.2021,GR
Schmid,Sina,,Catrina M.A. HSG Brändli Rechtsanwälte AG,Aquasanastrasse 8,7000,Chur,26.06.2025,GR
Schmid,Martin,Dr. iur.,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,11.06.1987,GR
Schmid,Lorenzo Alessandro Giovanni,lic. iur.,Fryberg Augustin Breitenmoser Partner,Quaderstrasse 8,7000,Chur,12.01.1990,GR
Schmid,Martin,Dr. iur.,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,19.06.1997,GR
Schmid,Christoffel Martina Judith,lic. iur.,Schmid Christoffel Rechtsanwälte AG Obere,Strasse 19,7270,Davos Platz,09.07.2007,GR
Schmid,Kistler Andrea,lic. iur.,Kistler & Kollegen,Promenade 132A,7260,Davos Dorf,25.11.1996,GR
Schmidt,Benedikt,lic. iur.,Meisser & Partners AG,Bahnhofstrasse 6,7250,Klosters,14.06.2004,GR
Schnyder,Peter,Dr. iur.,Schnyder Janett Advokatur & Notariat,Schulstrasse 1,7302,Landquart,19.06.1986,GR
Schreiber,Christian,Dr. iur.,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,14.07.1975,GR
Schucan,Charlotte,lic. iur.,Schucan & Wohlwend,Stradun 122,7524,Zuoz,12.01.1995,GR
Schuler,Frank,Dr. iur.,BänzigerPallySchuler KLG,Bahnhofstrasse 7,7001,Chur,16.01.2004,GR
Schwarz,Robert Martin,Dr. iur.,Advokatur Robert M.Schwarz,Langenjohnstrasse 10,7000,Chur,09.01.1987,GR
Schwarzenbach,Diego Francesco,lic. iur.,Schwarzenbach & Pfiffner Via,Maistra 7,7500,St. Moritz,21.06.1991,GR
Sonder,Marianne,Dr. iur.,DRSP Advokatur & Notariat,Hartbertstrasse 11,7001,Chur,03.07.1978,GR
Sprecher,Johann Florian,Dr. iur.,"Advokaturbüro J.F. Sprecher Furrastein,",Arosastrasse 48,7057,Langwies,04.01.1983,GR
Steger,Mirjam,MLaw,Kanzlei Mirjam Steger Veia da,Lantsch 1,7450,Tiefencastel,10.11.2010,GR
Steinbacher,Barbara,,M.A. HSG Kanzlei Steinbacher,Bahnhofstrasse 11,7302,Landquart,06.07.2018,GR
Stoehr,Andrea-Franco,MLaw,LL.M. Nievergelt & Stoehr AG,Crappun 8,7503,Samedan,25.01.2013,GR
Sturzenegger,Ladina,lic. iur.,Advokaturbüro Ladina Sturzenegger Via,Giarsun 52,7504,Pontresina,16.05.2007,GR
Suenderhauf,Martin,lic. iur.,Advokatur Martin Suenderhauf Obere,Plessurstrasse 51,7001,Chur,15.06.1989,GR
Suenderhauf,Christoph,lic. iur.,Suenderhauf Sax Schäfer,Gäuggelistrasse 29,7001,Chur,01.06.1987,GR
Tenchio,Kristina,Dr. iur.,Tenchio & Partner Obere,Plessurstrasse 36,7000,Chur,03.03.2000,GR
Tenchio,Luca,Dr. iur.,Tenchio & Partner Obere,Plessurstrasse 36,7000,Chur,18.06.1998,GR
Thöny,Christian,lic. iur.,et oec. Caviezel Thöny Cantieni Scarpatetti,Bahnhofstrasse 8,7000,Chur,13.06.1985,GR
Thöny,Mario,lic. iur.,Caviezel Thöny Cantieni Scarpatetti,Bahnhofstrasse 8,7000,Chur,19.12.2008,GR
Tinner,Fabia,MLaw,Vincenz & Partner,Masanserstrasse 40,7000,Chur,30.05.2024,GR
Togni,Carolina,MLaw,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,18.12.2020,GR
Toller,Marco,Dr. iur.,et lic. oec. HSG Advokatur Marco Toller,Teuchelweg 25,7000,Chur,17.06.1983,GR
Tomaschett,Marc,lic. iur.,Advokatur Tomaschett St.,Martinsplatz 8,7001,Chur,09.01.1987,GR
Tomaschett-Murer,Regula,lic. iur.,Advokatur Tomaschett St.,Martinsplatz 8,7001,Chur,11.06.1987,GR
Toschini,Andrea,lic. iur.,Studio legale avv. Andrea Toschini,Piaza 10,6535,Roveredo,18.06.1998,GR
