nom_complet,titre_academique,ville,canton
Häfliger Rolf,"Dr.iur., LL.M.",Zug,ZG
Hager Rainer,lic.iur.,Zug,ZG
Hagmann Hans,lic.iur.,Zug,ZG
Hasler Barbora,MLaw,Baar,ZG
Hauser Gabriela,"lic.iur., Executive MBA HSG",Oberägeri,ZG
Hausheer Urs J.,lic.iur.,Zug,ZG
Hausherr Matthys,lic.iur.,Zug,ZG
Hiltbrunner Patrik,MLaw,Steinhausen,ZG
Hinni Benno,lic.iur.,Zug,ZG
Hirzel Nadja,MLaw,Baar,ZG
Hodel Andrea,lic.iur.,Zug,ZG
Hodel Peter,"lic.iur., Executive M.B.L.-HSG",Zug,ZG
Höfliger Erwin,lic.iur.,Steinhausen,ZG
Hofstetter Christian,MLaw,Zug,ZG
Hohler Simon M.,"MLaw, LL.M.",Zug,ZG
Holzgang Milena,M.A. HSG,Zug,ZG
Homberger Florence,MLaw,Zug,ZG
Hotz Andreas,lic.iur.,Baar,ZG
Hotz Hengartner Edith,lic.iur.,Zug,ZG
Hrustanovic Almedin,MLaw,Zug,ZG
Hubatka Judith,"lic.iur., LL.M.",Zug,ZG
Huber Stephan,lic.iur.,Zug,ZG
Huwyler Andreas C.,lic.iur.,Zug,ZG
Huwyler Indrani,lic.iur.,Zug,ZG
Inderbitzin Manuel,lic.iur.,Zug,ZG
Inderbitzin-​Zehnder Milva,MLaw,Zug,ZG
Inderkum Matthias,"Dr.iur., LL.M.",Zug,ZG
Ineichen Esther,lic.iur.,Zug,ZG
Ismaili Lavderim,MLaw,Zug,ZG
Iten Michael,Dr.iur.,Zug,ZG
Iten Verena,lic.iur.,Zug,ZG
Izmaylov Pavel,,Baar,ZG
Jakob Matay,MLaw,Zug,ZG
Janev Zlatko,MLaw,Zug,ZG
Jann Alexandre,"Fürsprecher lic.iur., LL.M.",Zug,ZG
Jeker Gregor,MLaw,Cham,ZG
Johnson L. Mattias,"lic.iur., LL.M.",Baar,ZG
Joho Michèle,M.A. HSG,Zug,ZG
Jozic Stipe,"MLaw, LL.M.",Zug,ZG
Jucker Monika,lic.iur.,Zug,ZG
Junas Toni,lic.iur.,Zug,ZG
Jung Marcel R.,Dr.iur.,Zug,ZG
Kaiser Philippe J.A.,lic.iur.,Zug,ZG
Kälin Larissa,MLaw,Baar,ZG
Kamer Stephan,lic.iur.,Zug,ZG
Kammann George,Dr.phil.I et lic.iur.,Zug,ZG
Kammerbauer Sandra,MLaw,Baar,ZG
Kannewischer-​Fisch Franziska,lic.iur.,Zug,ZG
Kappeler Felix,lic.iur. et lic.phil.,Zug,ZG
Katz Laurin,MLaw,Zug,ZG
Kaufmann Sonja,MLaw,Zug,ZG
Kaufmann-​Ottiger Petra,MLaw,Zug,ZG
Kim Martina,MLaw,Zug,ZG
Kistler Huber Nicole,lic.iur.,Baar,ZG
Klass Stefan,Dr.iur.,Zug,ZG
Kobelt Ulrich,"lic.iur., LL.M.",Zug,ZG
Koch Stephan M.,lic.iur.,Zug,ZG
Koller Aline,MLaw,Rotzkreuz,ZG
Koller Florin Loris,MLaw,Zug,ZG
Koller Jonas,MLaw,Zug,ZG
Koller Jürg,Dr.iur.,Zug,ZG
Koller Stefan,lic.iur.,Zug,ZG
Könitzer Patrick,,MLaw Zug,ZG
Krasnic Diana,MLaw,Zug,ZG
Krimmer Simone,MLaw,Zug,ZG
Kuhn Stefan,MLaw,Baar,ZG
Kündig Peter,lic.iur.,Zug,ZG
Kurmann Ulrich,MLaw,Zug,ZG
Ladner Thomas,"Dr.iur., LL.M.",Baar,ZG
Lamdark Mutschler Dicki,lic.iur.,Zug,ZG
Landtwing Andreas,"Dr.iur., LL.M.",Zug,ZG
Landtwing-​Oswald Manuela,"lic.iur., LL.M",Zug,ZG
Landtwing Leupi Michèle,lic.iur.,Zug,ZG
Landtwing Ueli,lic.iur.,Zug,ZG
Langer Lara,MLaw,Zug,ZG
Lantos Viktoria,"Dr.iur., LL.M.",Zug,ZG
Lanza Andrea,MLaw,Cham,ZG
Lenzlinger Iso,lic.iur.,Zug,ZG
Letter Angela,MLaw,Zug,ZG
Levi Laurenti Alessandro,lic.iur,Baar,ZG
Lienhart Astrid,lic.iur.,Zug,ZG
Lienin Daniel,Dr.iur.,Baar,ZG
Lindauer-​Rispoli Celestina,lic.iur.,Zug,ZG
Ljubicic Samuel,"MLaw, LL.M.",Baar,ZG
Locher Thomas,lic.iur.,Baar,ZG
